title,processed_synopsis
Alien,deep space crew commerci starship nostromo awaken capsul halfway journey home investig distress call alien vessel terror begin crew encount nest egg insid alien ship organ insid egg leap attach one crew caus fall coma
Call Me by Your Name,summer 1983 precoci elio perlman spend day famili villa lombardi itali soon meet oliv handsom doctor student work intern elio father amid splendor surround elio oliv discov headi beauti awaken desir cours summer alter live forev
1917,world war two british soldier lanc cpl schofield lanc cpl blake receiv seem imposs order race time must cross enemi territori deliv messag could potenti save fellow comrad includ blake brother
Gravity,ryan stone sandra bullock medic engin first shuttl mission command veteran astronaut matt kowalski georg clooney helm last flight retir routin space walk pair disast strike shuttl destroy leav ryan matt strand deep space link earth hope rescu fear turn panic realiz way home may ventur space
The Maltese Falcon,noir classic detect sam spade humphrey bogart get bargain take case brought beauti secret woman mari astor soon miss wonder show troubl follow sam partner murder sam accost man peter lorr demand locat valuabl statuett sam entangl danger web crime intrigu soon realiz must find one thing seem want bejewel maltes falcon
The Florida Project,set shadow magic place earth moone two best friend forg adventur moone struggl mom kindheart motel manag protect kid harsh realiti surround
Widows,polic shootout leav four thiev dead explos arm robberi attempt chicago widow veronica linda alic bell noth common except debt left behind spous crimin activ hope forg futur term veronica join forc three women pull heist husband plan
"The Godfather, Part II",compel sequel godfath contrast life corleon father son trace problem michael corleon al pacino 1958 young immigr vito corleon robert de niro 1917 hell kitchen michael surviv mani misfortun vito introduc life crime
Never Rarely Sometimes Always,face unintend pregnanc lack local support autumn cousin skylar travel across state line new york citi fraught journey friendship braveri compass
Pain and Glory,age spanish film director middl creativ crisi revisit memor event past
Hell or High Water,tobi divorc father tri make better life son brother tanner short temper loos trigger finger togeth plan seri heist bank foreclos famili ranch stand way marcus texa ranger week away retir sibl plot final robberi must also prepar showdown crafti lawman readi ride sunset
Bicycle Thieves,unemploy antonio ricci lamberto maggiorani elat final find work hang poster around rome wife maria lianella carel sell famili bed linen retriev antonio bicycl pawnshop take job howev disast strike antonio bicycl stolen new job doom unless find thief help live son bruno enzo staiola antonio comb citi grow increas desper justic
Brooklyn,young irish immigr eili lace saoirs ronan navig way 1950s brooklyn lure promis america eili depart ireland comfort mother home shore new york citi initi shackl homesick quick diminish fresh romanc sweep eili intox charm love soon past disrupt new vivac eili must choos two countri live exist within
The Babadook,troubl widow essi davi discov son tell truth monster enter home page children book
Creed,adoni johnson michael jordan never knew famous father box champion apollo creed die adoni born howev box blood seek rocki balboa sylvest stallon ask retir champ trainer rocki see much apollo adoni agre mentor even battl oppon deadlier ring rocki help adoni soon get titl shot whether true heart fighter remain seen
The Wrestler,age wrestler randi ram robinson mickey rourk long past prime still readi rarin go circuit particular brutal beat howev randi hang tight pursu serious relationship stripper marisa tomei tri reconnect estrang daughter evan rachel wood ca resist lure ring readi comeback
Dolemite Is My Name,perform rudi ray moor develop outrag charact name dolemit becom underground sensat star film could make break moor
First Man,hope reach moon end decad nasa plan seri extrem danger unpreced mission earli 1960s engin neil armstrong join space program spend year train risk life test flight juli 16 1969 nation world watch wonder armstrong fellow astronaut buzz aldrin michael collin embark histor apollo 11 spaceflight
The Lighthouse,two lighthous keeper tri maintain saniti live remot mysteri new england island 1890s
"I, Tonya",1991 talent figur skater tonya hard becom first american woman complet tripl axel competit 1994 world come crash conspir injur nanci kerrigan fellow olymp hope poor conceiv attack forc young woman withdraw nation championship hard life legaci instant becom tarnish forev associ one infam scandal sport histori
Hidden Figures,three brilliant women nasa katherin johnson taraji henson dorothi vaughan octavia spencer mari jackson janell moná serv brain behind one greatest oper histori launch astronaut john glenn glen powel orbit stun achiev restor nation confid turn around space race galvan world
Taxi Driver,suffer insomnia disturb loner travi bickl robert de niro take job new york citi cabbi haunt street night grow increas detach realiti dream clean filthi citi travi meet pretti campaign worker betsi cybil shepherd becom obsess idea save world first plot assassin presidenti candid direct attent toward rescu prostitut iri jodi foster
The Social Network,2003 harvard undergrad comput genius mark zuckerberg jess eisenberg begin work new concept eventu turn global social network known facebook six year later one youngest billionair ever zuckerberg find unpreced success lead person legal complic end receiv end two lawsuit one involv former friend andrew garfield base book accident billionair
The Hate U Give,starr carter constant switch two world poor most black neighborhood live wealthi most white prep school attend uneasi balanc world soon shatter wit fatal shoot childhood best friend hand polic offic face pressur side communiti starr must find voic decid stand right
L.A. Confidential,three policemen motiv obsess tackl corrupt surround unsolv murder downtown los angel coffe shop earli 1950s detect lieuten exley guy pearc son murder detect aveng father kill offic white russel crow implic scandal root exley one victim sergeant vincenn kevin spacey feed classifi inform tabloid magnat danni devito
Phantom Thread,renown dressmak reynold woodcock sister cyril center british fashion 1950s london dress royalti movi star heiress socialit debutant women come go woodcock life provid confirm bachelor inspir companionship care tailor exist soon get disrupt alma young woman becom muse lover
Us,accompani husband son daughter adelaid wilson return beachfront home grew child haunt traumat experi past adelaid grow increas concern someth bad go happen worst fear soon becom realiti four mask stranger descend upon hous forc wilson fight surviv mask come famili horrifi learn attack take appear one
Get Out,chris daniel kaluuya girlfriend rose allison william reach mileston date invit weekend getaway upstat missi dean first chris read famili over accommod behavior nervous attempt deal daughter interraci relationship weekend progress seri increas disturb discoveri lead truth never could imagin
Hereditary,matriarch graham famili pass away daughter grandchildren begin unravel cryptic increas terrifi secret ancestri tri outrun sinist fate inherit
It Follows,carefre teenag jay maika monro sleep new boyfriend hugh jake weari first time learn latest recipi fatal curs pass victim victim via sexual intercours death jay learn creep inexor toward either friend stranger jay friend believ seem paranoid rave begin see phantom assassin band togeth help flee defend
The Silence of the Lambs,jodi foster star claric starl top student fbi train academi jack crawford scott glenn want claric interview hannib lecter anthoni hopkin brilliant psychiatrist also violent psychopath serv life behind bar various act murder cannib crawford believ lecter may insight case starl attract young woman may bait draw
Halloween,cold halloween night 1963 six year old michael myer brutal murder sister judith sentenc lock away 15 year octob 30 1978 transfer court date michael myer steal car escap smith grove return quiet hometown haddonfield illinoi look next victim
Pan's Labyrinth,1944 spain young ofelia ivana baquero ail mother ariadna gil arriv post mother new husband sergi lópez sadist armi offic tri quell guerrilla upris explor ancient maze ofelia encount faun pan tell legendari lost princess must complet three danger task order claim immort
Host,six friend accident invit attent demon presenc onlin séanc begin notic strang occurr home
The Witch,1630 new england panic despair envelop farmer wife children youngest son samuel sudden vanish famili blame thomasin oldest daughter watch boy time disappear suspicion paranoia mount twin sibl merci jona suspect thomasin witchcraft test clan faith loyalti love one anoth
The Cabin in the Woods,five colleg friend kristen connolli chris hemsworth anna hutchison fran kranz jess william arriv remot forest cabin littl vacat littl expect horror await one one youth fall victim backwood zombi anoth factor play two scientist richard jenkin bradley whitford manipul ghoulish even bodi count rise yet work meet eye
Don't Look Now,still griev accident death daughter christin sharon william john donald sutherland laura baxter juli christi head venic itali john commiss restor church laura meet two sister hilari mason clelia matania claim touch spirit baxter daughter laura take serious john scoff catch glimps look like christin run street venic
It,seven young outcast derri main face worst nightmar ancient evil emerg sewer everi 27 year prey town children band togeth cours one horrifi summer friend must overcom person fear battl murder bloodthirsti clown known pennywis
Possessor: Uncut,tasya vos elit corpor assassin take control peopl bodi use technolog execut target
Relic,woman link mother increas volatil behavior evil presenc famili decay countri home
The Birds,melani daniel tippi hedren meet mitch brenner rod taylor san francisco pet store decid follow home bring gift two love bird strike romanc one day bird start attack children mitch sister parti huge assault start town attack bird
Young Frankenstein,respect medic lectur frederick frankenstein gene wilder learn inherit infam grandfath estat transylvania arriv castl frankenstein soon begin recreat grandfath experi help servant igor marti feldman inga teri garr fearsom frau blücher clori leachman creat monster peter boyl new complic ensu arriv doctor fiancé elizabeth madelin kahn
Ready or Not,grace could happier marri man dream famili luxuri estat one catch must hide midnight dawn new hunt gun crossbow weapon grace desper tri surviv night soon find way turn tabl relat
La llorona,alma murder children militari attack guatemala general order genocid found guilti 30 year later alma return world live torment man
Drag Me to Hell,christin brown alison lohman love boyfriend justin long great job los angel bank heaven life becom hellish effort impress boss deni old woman request extens home loan retali crone place curs christin threaten soul etern damnat christin seek psychic help break curs price save soul may pay
A Girl Walks Home Alone at Night,resid iranian citi encount skateboard vampir sheila vand prey men disrespect women
House of Wax,wax sculptor henri vincent price horrifi learn busi partner matthew roy robert plan torch wax museum collect insur polici henri miracul surviv fieri confront matthew year henc museum appear henri new wax sculptur occur time number corps vanish citi morgu art student sue allen phylli kirk begin suspect wrongdo
The Fly,scientist andr delambr al hedison test matter transport errant housefli make way transport chamber thing go horribl wrong result delambr head arm insect slowli lose fli delambr turn wife helen patricia owen help tragedi strike delambr brother vincent price inspector chara herbert marshal forc pick investig
Dracula,dash mysteri count dracula bela lugosi hypnot british soldier renfield dwight frye mindless slave travel london take resid old castl soon dracula begin wreak havoc suck blood young women turn vampir set sight mina helen chandler daughter promin doctor van hels edward van sloan enlist put stop count bloodlust
Midsommar,young american coupl relationship founder travel fabl swedish midsumm festiv seem pastor paradis transform sinist nightmar local reveal terrifi agenda
Carrie,chill adapt stephen king horror novel withdrawn sensit teen carri white sissi spacek face taunt classmat school abus fanat pious mother piper lauri home strang occurr start happen around carri begin suspect supernatur power invit prom empathet tommi ross william katt carri tri let guard thing eventu take dark violent turn
Spontaneous,student high school inexplic start explod senior mara dylan struggl surviv world moment may last unexpect romanc blossom soon discov tomorrow longer promis final start live today
The Evil Dead,ashley ash william bruce campbel girlfriend three pal hike wood cabin fun night away find old book necronomicon whose text reawaken dead read aloud friend inadvert releas flood evil must fight live becom one evil dead ash watch friend becom possess must make difficult decis daybreak save life first sam raimi trilog
Evil Dead 2,second three film evil dead seri part horror part comedi ash william bruce campbel battl horrifi demon seclud cabin wood discov audiotap left colleg professor contain voic read book dead ash girlfriend linda denis bixler becom possess evil spirit awaken voic tape ash soon discov escap wood
The Innocents,base henri jame stori turn screw psycholog thriller woman take gover job two orphan victorian home begin see believ ghost suspect children bizarr behavior result supernatur power
The Loved Ones,classmat xavier samuel declin invit school danc teenag robin mcleavi kidnap make guest honor twist prom
Dead of Night,architect walter craig mervyn john goe pilgrim farm see potenti client arriv hous get feel insid meet group peopl seem odd familiar tell dreamt one begin list event occur dream walter revel begin convers amongst group person admit experienc strang unexplain event
Harpoon,rivalri dark secret sexual tension emerg three friend find strand yacht middl ocean suspici circumst
The Love Witch,elain samantha robinson beauti young witch determin find man love gothic victorian apart make spell potion pick men seduc howev spell work well end string hapless victim last meet man dream desper love drive brink insan murder
Room 237,filmmak rodney ascher analyz stanley kubrick film adapt stephen king classic horror novel shine
Suspiria,suzi jessica harper travel germani attend ballet school arriv late stormi night one let see pat eva axén anoth student flee school pat reach apart murder next day suzi admit new school difficult time settl hear nois often feel peopl die suzi uncov terrifi secret histori place
Werckmeister Harmonies,mysteri circus excit small hungarian town rebellion promis act perform
Shaun of the Dead,shaun simon pegg loser dull easi exist work electron store live sloven best friend ed nick frost small flat outskirt london unpredict element life girlfriend liz kate ashfield wish desper shaun grow man town inexplic overrun zombi shaun must rise occas protect liz mother penelop wilton
Train to Busan,man gong yoo estrang daughter passeng becom trap speed train zombi outbreak south korea
A Nightmare on Elm Street,wes craven classic slasher film sever midwestern teenag fall prey freddi krueger robert englund disfigur midnight mangler prey teenag dream turn kill realiti investig phenomenon nanci heather langenkamp begin suspect dark secret kept friend parent may key unravel mysteri nanci boyfriend glen johnni depp solv puzzl late
The Host,careless american militari personnel dump chemic south korea han river sever year later creatur emerg taint water sink raven jaw local resid creatur abduct daughter ko vendor song famili decid one save
Dawn of the Dead,hord zombi swarm terrifi populac tri everyth power escap attack undead neither citi countrysid prove safe pennsylvania employe stephen david emg girlfriend francin gaylen ross escap station helicopt accompani two renegad swat member roger pete group retreat enclos shop center make could human last stand
It Comes at Night,mysteri apocalyps leav world survivor two famili forc share home uneasi allianc keep outsid evil bay learn true horror may come within
Zombieland,virus turn peopl zombi world surviv human remain lock ongo battl hungri undead four survivor tallahasse woodi harrelson cohort columbus jess eisenberg wichita emma stone littl rock abigail breslin abid list surviv rule strategi make way toward rumor safe los angel
In Fabric,lone divorce visit bewitch london depart store find dress transform life soon find perfect gown unleash malevol unstopp curs
Re-Animator,medic student jeffrey comb bring headless professor back dead special serum
Don't Breathe,rocki jane levi alex money three detroit thiev get kick break hous wealthi peopl money get word blind veteran major cash settlement follow death child figur easi target trio invad man seclud home abandon neighborhood find trap insid young intrud must fight live make shock discoveri suppos helpless victim
The Endless,two brother receiv cryptic video messag inspir revisit ufo death cult escap decad earlier hope find closur could find young men forc reconsid cult belief confront unexplain phenomena surround camp member prepar come mysteri event brother race unravel seem imposs truth live becom perman entangl cult
What Ever Happened to Baby Jane?,jane hudson bett davi age child star left care sister blanch joan crawford also former child actress stuck live togeth mansion old hollywood blanch plot get even jane car crash left crippl year earlier jane desper keep blanch imprison plan new rise fame tri hide blanch exist doctor visitor neighbor devis way get rid sister
The Mortuary Collection,desper work young drifter appli job local mortuari outskirt town meet montgomeri dark eccentr mortician skeleton closet montgomeri chronicl strang histori town seri twist tale terrifi last
Cam,camgirl principl mysteri woman look like take channel
The Phantom of the Opera,silent horror classic aspir young opera singer christin daaé mari philbin discov mysteri admir intent help becom lead perform enigmat mask presenc erik also known phantom lon chaney horribl disfigur reclus live underneath pari opera hous phantom take christin prison demand devot affect suitor vicomt raoul de chagni norman kerri set rescu
The Wolf Man,brother die larri talbot lon chaney return wale reconcil father claud rain visit antiqu shop hope impress gwen evelyn anker attract shopkeep buy silver walk cane night kill wolf later learn actual kill man bela lugosi gypsi maria ouspenskaya explain son werewolf kill larri one
Upgrade,brutal mug leav grey trace paralyz hospit belov wife dead billionair inventor soon offer trace cure artifici intellig implant call stem enhanc bodi abl walk grey find also superhuman strength agil skill use seek reveng thug destroy life
Eraserhead,henri john nanc resid alon bleak apart surround industri gloom discov earlier fling mari x charlott stewart left pregnant marri expect mother move thing take decid strang turn coupl babi turn bizarr creatur wo stop wail charact includ disfigur ladi live insid radiat inhabit build add henri troubl
We Are Still Here,everi 30 year lone old hous field new england wake demand sacrific
The Dark and the Wicked,plagu wake nightmar two sibl suspect someth evil take famili isol farmhous
The Texas Chain Saw Massacre,salli marilyn burn hear grandfath grave may vandal parapleg brother franklin paul partain set friend investig detour famili old farmhous discov group craze murder outcast live next door group attack one one leatherfac gunnar hansen wear mask human skin survivor must everyth escap
The Witches,stay hotel england grandmoth helga mai zetterl young luke jasen fisher inadvert spi convent witch grand high witch anjelica huston reveal plan turn children mice magic formula find luke overheard witch test formula help helga hotel manag stringer rowan atkinson luke mous must fight back witch
Arachnophobia,natur photograph mark taylor die assign venezuela poison spider hitch ride coffin hometown rural california arachnophob ross jen jeff daniel move wife molli harley jane kozak young son town resid start turn dead jen begin suspect spider must face fear extermin delbert mcclintock john goodman fight stop dead infest
Horror of Dracula,search miss friend jonathan harker john van eyssen vampir hunter van hels peter cush led count dracula christoph lee castl upon arriv van hels find undead harker dracula crypt discov count next target harker ail fiancé luci holmwood carol marsh help brother arthur michael gough van hels struggl protect luci put end count dracula parasit reign terror
Dr. Jekyll and Mr. Hyde,test theori everi man dwell good evil forc reserv jekyl fredric march develop formula separ two turn violent ruffian name hyde think found answer one life grandest mysteri jekyl soon realiz becom addict darker self unleash violent side earthi danc hall girl ivi miriam hopkin fight hyde regain control bodi
The Mummy,team british archaeologist led sir joseph whempl arthur byron discov mummifi remain ancient egyptian princ imhotep bori karloff along legendari scroll thoth one archaeologist recit scroll aloud imhotep return life escap sever year later imhotep taken guis wealthi man search egypt lost love believ reincarn love helen grosvenor zita johann
Let Me In,bulli school neglect home incred lone owen kodi spend day plot reveng tormentor spend night spi resid apart complex sole friend abbi chloë grace moretz strang girl come nighttim outcast two form strong bond abbi caretak disappear amid seri gruesom murder owen begin suspect hide terribl secret
Island of Lost Souls,adapt well novel island doctor moreau edward parker richard arlen shipwreck remot island presid mysteri moreau charl laughton edward discov host conduct genet experi presid race hybrid includ allur panther woman sage sayer law bela lugosi island becom societi moreau god
Frenzy,london held grip serial killer whose modus operandi murder victim strangl neckti air forc offic richard blaney jon finch discov barbara murder blaney becom suspect forc go run blaney attempt take refug best friend fruit merchant bob rusk barri foster howev rusk may fact neckti murder
Color Out of Space,meteorit land front yard farm nathan gardner famili find battl mutant extraterrestri organ infect mind bodi transform quiet rural life technicolor nightmar
The Conjuring,1970 paranorm investig demonologist lorrain vera farmiga ed patrick wilson warren summon home carolyn lili taylor roger ron livingston perron perron five daughter recent move seclud farmhous supernatur presenc made known though manifest relat benign first event soon escal horrifi fashion especi warren discov hous macabr histori
Misery,serious car crash novelist paul sheldon jame caan rescu former nurs anni wilk kathi bate claim biggest fan anni bring remot cabin recov obsess take dark turn discov sheldon kill favorit charact novel sheldon devis plan escap anni grow increas control even violent forc author shape write suit twist fantasi
The Wicker Man,sergeant howi edward woodward arriv small scottish island summerisl investig report miss child conserv christian policeman observ resid frivol sexual display strang pagan ritual particular temptat willow britt ekland daughter island magistr lord summerisl christoph lee sergeant howi learn island strang practic closer get track miss child
Little Shop of Horrors,meek flower shop assist seymour rick morani pine audrey ellen green total eclips discov unusu plant name audrey ii feed human flesh blood grow plant attract great deal busi previous struggl store seymour feed audrey boyfriend orin steve martin plant orin accident death must come bodi increas bloodthirsti plant
Cronos,antiqu dealer jesus gris federico luppi stumbl across crono scarab latch onto grant youth etern life also thirst blood jesus enjoy newfound vital unawar die old man dieter de la guardia claudio brook sent nephew angel ron perlman find scarab bring back jesus give immort easili even risk life orphan granddaught tamara shanath
Bone Tomahawk,old west sheriff kurt russel deputi richard jenkin gunsling matthew fox cowboy patrick wilson embark mission rescu three peopl savag group cave dweller
The Return of the Living Dead,foreman frank jame karen show new employe freddi thom mathew secret militari experi suppli warehous two klutz accident releas gas reanim corps zombi epidem spread throughout louisvill creatur satisfi hunger gori outlandish way frank freddi fight surviv help boss clu gulag mysteri mortician calfa
28 Days Later,group misguid anim right activist free cage chimp infect rage virus medic research lab london bike courier jim cillian murphi wake coma month find citi desert run victim rage jim stumbl upon group survivor includ selena naomi harri cab driver frank brendan gleeson join peril journey hope safeti
Hush,deaf woman stalk killer home
E.T. the Extra-Terrestrial,gentl alien becom strand earth discov befriend young boy name elliott henri thoma bring extraterrestri suburban california hous elliott introduc alien dub brother littl sister gerti drew barrymor children decid keep exist secret soon howev fall ill result govern intervent dire situat elliott alien
Babe,gentl farmer arthur hoggett jame cromwel win piglet name babe christin cavanaugh counti fair narrowli escap fate christma dinner farmer hoggett decid show next fair babe bond mother border colli fli miriam margoly discov herd sheep farm anim includ fli jealous husband rex accept pig conform farm social hierarchi
My Fair Lady,belov music pompous phonet professor henri higgin rex harrison sure abil take upon transform cockney girl someon pass cultur member high societi subject turn love eliza doolittl audrey hepburn agre speech lesson improv job prospect higgin eliza clash form unlik bond one threaten aristocrat suitor jeremi brett
Hugo,orphan alon except uncl hugo cabret asa butterfield live wall train station 1930s pari hugo job oil maintain station clock import task protect broken automaton notebook left late father jude law accompani goddaught chloë grace moretz embitt toy merchant ben kingsley hugo embark quest solv mysteri automaton find place call home
Enchanted,banish evil queen princess gisell ami adam world land modern manhattan music magic happili ever sore lack adrift strang new place divorc lawyer patrick dempsey come aid gisell begin fall flaw benefactor storybook romanc get complic princ world come rescu
The Straight Story,retir farmer widow 70s alvin straight richard farnsworth learn one day distant brother lyle harri dean stanton suffer stroke may recov alvin determin make thing right lyle still brother live wisconsin alvin stuck iowa car driver licens hit idea make trip old lawnmow thus begin picturesqu time deepli spiritu odyssey
Harry Potter and the Prisoner of Azkaban,harri potter daniel radcliff third year hogwart start bad learn derang killer sirius black gari oldman escap azkaban prison bent murder teenag wizard hermion emma watson cat torment ron rupert grint sick rat caus rift among trio swarm nasti dementor sent protect school black mysteri new teacher help harri learn defend secret tie sirius black
Pete's Dragon,meacham robert redford woodcarv delight local children stori mysteri dragon live deep wood pacif northwest daughter grace bryce dalla howard believ tall tale meet pete oak fegley orphan say live wood giant friend dragon help young girl name natali oona laurenc grace set investig fantast claim true
The Secret of Roan Inish,fiona jeni courtney young irish girl unusu famili histori includ babi brother goe live grandpar west coast ireland fiona hear stori ancestor tale involv mythic creatur call selki shift seal human form fiona end small island roan inish famili ancestr home believ may found littl brother live sea
A Monster Calls,conor lewi macdougal deal far boy age belov devot mother felic jone littl common imperi grandmoth father resettl thousand mile away conor find unlik alli monster liam neeson appear bedroom window one night ancient wild relentless monster guid conor journey courag faith truth power fuse imagin realiti
Spy Kids,two young kid becom spi attempt save parent evil mastermind arm bag high tech gadget world transport carmen alexa vega juni daryl sabara brave jet air dive sea crisscross globe seri thrill adventur mission save parent mayb even world
Summer Hours,elder matriarch hélène berthier édith scob discov health declin contact three adult children contend valuabl art collect pass famili gather local son frédéric charl berl hand sibl adrienn juliett binoch jérémie jérémie renier fli abroad togeth tri agre mother collect also grappl mortal
Harry Potter and the Goblet of Fire,fourth movi harri potter franchis see harri daniel radcliff return fourth year hogwart school witchcraft wizardri along friend ron rupert grint hermion emma watson upcom tournament three major school magic one particip select school goblet fire harri name drawn even though elig fourth player must compet danger contest
The Kid Who Would Be King,magic meet modern world young alex stumbl upon mythic sword excalibur soon unit friend enemi becom knight join forc legendari wizard merlin togeth must save mankind wick enchantress morgana armi supernatur warrior
How Green Was My Valley,huw morgan roddi mcdowal academ inclin youngest son proud famili welsh coal miner wit tumultu event young life period rapid social chang dawn 20th centuri miner strike divid morgan son demand improv father donald crisp want rock boat meanwhil huw eldest sister angharad maureen pine new villag preacher gruffydd walter pidgeon
That Thing You Do!,wili band manag white help small town band achiev big time success releas pop song pennsylvania band oned becom sensat drummer break arm replac jazz enthusiast guy patterson inject someth bit differ music
First Position,six young ballet student differ background prepar youth america grand prix competit danc school compani around world scout new talent
Willy Wonka and the Chocolate Factory,last five covet golden ticket fall hand sweet poor boy grandpa get tour strangest chocol factori world owner lead five young winner thrill often danger tour factori
Lassie,young joe carraclough jonathan mason famili samantha morton john lynch love faith colli lassi howev joe father lose job mine must sell dog duke rudl peter covet colli granddaught hester odger duke move northern scotland avoid threat world war ii lassi escap undertak journey reunit famili
Duma,xan alexand michaleto live ranch kenya mother hope davi father campbel scott famili stumbl upon abandon babi cheetah one afternoon xan take cub begin care time xan grow incred attach cheetah famili name duma relationship last case xan must learn hard lesson anim meant domest
Jason and the Argonauts,save life royal father usurp pelia dougla wilmer fail recogn jason todd armstrong encourag conniv murder begin quest search golden fleec pelia hope jason death thwart propheci reclaim throne along journey jason protect goddess hera honor blackman crew includ hercul nigel green acastus gari raymond saboteur plant pelia
A Christmas Story,base humor write author jean shepherd belov holiday movi follow wintri exploit youngster ralphi parker peter billingsley spend time dodg bulli zack ward dream ideal christma gift red ryder air rifl frequent odd cranki dad darren mcgavin comfort dote mother melinda dillon ralphi struggl make christma day glass hope intact
Hamilton,origin broadway product music tell stori alexand hamilton first secretari treasuri blend jazz r b broadway style film richard roger theater new york
David Byrne's American Utopia,singer david byrn group intern musician perform song hit broadway music american utopia
Once,vacuum repairman glen hansard moonlight street musician hope big break one day czech immigr marketa irglova earn live sell flower approach news also aspir pair decid collabor song compos reflect stori blossom love
Amadeus,wolfgang amadeus mozart tom hulc remark talent young viennes compos unwit find fierc rival disciplin determin antonio salieri murray abraham resent mozart hedonist lifestyl undeni talent high religi salieri gradual consum jealousi becom obsess mozart downfal lead devious scheme dire consequ men
We Are the Best!,three rebelli teenag mira barkhammar mira grosin liv lemoyn form punk band 1980s stockholm
Hairspray,traci turnblad ricki lake overweight teen audit spot popular teen danc show beat spite amber von tussl colleen fitzpatrick win amber boyfriend michael gerard process meet black student school traci begin push racial integr danc show get troubl mani side especi amber pushi parent sonni bono deborah harri
West Side Story,music modern day romeo juliet involv new york street gang harsh street upper west side two gang battl control turf situat becom complic gang member fall love rival sister
What's Love Got to Do With It,base life legendari soul singer tina turner angela bassett born anna mae bullock discov love sing tennesse church choir move loui pursu career meet charismat ike turner laurenc fishburn rechristen tina offer help succeed music team ike tina take chart storm physic abus worsen tina make tough decis leav ike set
Beware of Mr. Baker,filmmak jay bulger interview ginger baker legendari often volatil drummer rock group cream blind faith
Exit Through the Gift Shop,infam shadowi british graffiti street artist banksi liter left mark citi throughout world come contact thierri guetta los frenchman videotap various underground art escapad later transform art phenomenon dub mr brainwash rhys ifan narrat overlap documentari line real might fake blur modern art celebr put microscop
Keep on Keepin' On,legendari jazz musician clark terri taught quinci jone mentor mile davi becom mentor blind pianist suffer crippl stage fright
Marley,life stori musician revolutionari legend bob marley earli day intern superstardom featur rare footag perform interview
"You, the Living",swedish citi leth peopl differ walk life take part seri short deadpan vignett rush past second long none longer coupl minut young woman jessica lundberg rememb fantasi honeymoon rock guitarist man awak dream bomber plane businessman boast success rob pickpocket absurdist collect accompani dixieland jazz similar music
The Full Monty,lose job steel factori gaz robert carlyl learn wife want sue miss child support payment desper money gaz friend dave mark addi decid creat male act two friend recruit four men includ former foreman tom wilkinson secur guard steve huison group promis show succeed will go full monti complet nake
49 Up,twelv peopl document everi seven year sinc 7 year old discuss live chang sinc last interview
Straight Outta Compton,1988 groundbreak new group revolution music pop cultur chang influenc forev first studio album straight outta compton stir controversi brutal honest depict life southern los angel guidanc veteran manag jerri heller band member ice cube jackson dre corey hawkin dj yella mc ren navig way industri acquir fame fortun place histori
Cabaret,berlin 1931 american cabaret singer salli bowl liza minnelli meet british academ brian robert michael york finish univers studi despit brian confus sexual pair becom lover arriv wealthi decad playboy maximilian von heun helmut griem complic matter love triangl play rise nazi parti collaps weimar republ
The Beaches of Agnès,autobiograph documentari celebr french filmmak agn varda provid window event life revisit various local import interspers trip interview varda collabor famili member well archiv footag still photograph eclect mix provid histori subject illumin tour artist mind creativ process
Johnny Guitar,outskirt town vienna joan crawford own saloon frequent undesir region includ dancin kid scott bradi gang anoth patron vienna establish johnni guitar sterl hayden former gunsling lover heist pull town result man death emma small merced mccambridg vienna rival ralli townsfolk take reveng vienna saloon even without proof wrongdo
"20,000 Days on Earth",therapist question visit volumin archiv propel dramat day life musician cultur icon nick cave
Wordplay,filmmak patrick creadon pay tribut crossword puzzl love featur profil new york time puzzl master shortz among celebr swear time puzzl presid bill clinton duo indigo girl comic jon stewart basebal player mike mussina filmmak ken burn
Pina,filmmak wim wender film dancer motion tribut legendari choreograph pina bausch die 2009
Nashville,acclaim robert altman drama live numer peopl tennesse capit intersect unpredict way delbert rees ned beatti lawyer polit organ difficulti marriag linnea lili tomlin gospel vocalist perform heavili featur renown ensembl product includ countri singer barbara jean rone blakley conni white karen black rival citi thrive music scene
Festival Express,compil footag grate dead canadian train tour depict height band music fame five day 1970 along perform jani joplin buddi guy band fli burrito brother howev also dark side shown alongsid semin concert train stop musician often confront worri promot inquisit report protest student ca afford ticket price
Born Into Brothels,documentari photograph zana briski journey calcutta underworld photograph citi prostitut return offer teach prostitut children basic photographi kid could document live street one world poorest citi result photograph often astonish exhibit around world mani seen film academi award best documentari featur 2005
Funny Girl,bittersweet classic music drama vibrant beauti young fanni brice barbra streisand start bit player new york citi vaudevill stage work way stardom broadway valu vocal comed talent renown theater impresario florenz ziegfeld walter pidgeon fanni thrive relationship suav imprison businessman husband nick arnstein omar sharif anoth stori
Crumb,filmmak terri zwigoff creat complex affection portrait longtim friend underground cartoonist robert crumb notori curmudgeon would prefer alon fellow cartoonist wife alin belov vintag jazz record crumb reveal complic person suffer troubl upbring harbor philosoph opposit 1960s hippi underground first celebr work
Love & Mercy,late 1960s beach boy brian wilson stop tour produc pet sound begin lose grip realiti 1980s wilson john cusack sway control therapist find savior melinda ledbett
The Wrecking Crew,son guitarist tommi tedesco pay tribut late father core group studio musician play biggest hit 1960s includ california girl mrs robinson
Marina Abramovic: The Artist Is Present,perform artist marina abramov prepar major retrospect work museum modern art new york
Black Is King,
Crazy Heart,mani year hazi day boozi night former legend bad blake jeff bridg reduc play dive bowl alley town latest gig blake meet jean craddock maggi gyllenha sympathet report come stori unexpect warm romanc begin singer find crossroad may threaten last shot happi
