title,imagen
Kubo and the Two Strings,https://resizing.flixster.com/KGd2tFLzzHm67TW7qKm9HsqWLcM=/206x305/v2/https://resizing.flixster.com/444kXF_ndqW-5gDse6XWAAQW_7I=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RmNTk3MDM4LTExN2MtNDk2Mi04MjJjLWVkMDliYTQ0M2EzNC53ZWJw
WALL-E,https://resizing.flixster.com/pKxQ3N4coE0tmb8Qn45feMSUCf0=/206x305/v2/https://resizing.flixster.com/cAPBycTaGTyvL5knoQfGAocmLTY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2FkODNhNzI1LTRhOWItNDg0OC05ODcxLWM5NDlmMzVhZTYxYi53ZWJw
Marvel's the Avengers,https://resizing.flixster.com/6WHSHxkCrLKGv6bAXMn1A26ehVM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8815512_p_v8_ax.jpg
Iron Man,https://resizing.flixster.com/3pxO4cKBL9QjNOkV42mTU4USCMc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p170620_p_v13_ae.jpg
The Terminator,https://resizing.flixster.com/Rxyp_L2fOqiEItaXust7ITlebpw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7764_p_v8_au.jpg
The African Queen,https://resizing.flixster.com/y5Z9yjnud1iNFpn8_gSQRV2JmAY=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p4105_p_v10_aa.jpg
Rio Bravo,https://resizing.flixster.com/4_0H40Jq8LbgL5-ha9uk5LH5Xl4=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7006_p_v8_ag.jpg
Hunt for the Wilderpeople,https://resizing.flixster.com/YDl0EySu3lnrIVdia6rKo2q4MH8=/206x305/v2/https://resizing.flixster.com/MByjpUGe5BNKUHeE3u-fDmzHMJE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2M2ZTlmNGIxLWIwYjgtNDU4YS05ZmViLTY2NGM5NTI4NjcwNC53ZWJw
The French Connection,https://resizing.flixster.com/f2cwBNy6L2AWgtZs5ikhs0r-xV0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p912_p_v8_as.jpg
The Taking of Pelham One Two Three,https://resizing.flixster.com/APQ1xtl9UU1J3yLGsoHBpAL2piI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3570_p_v13_ag.jpg
